,product_id,product_title,rating,summary,review,name,location,date,upvotes,downvotes
388,ACCFBDCVVNXUWBXH,ZEBRONICS Zeb-Judwaa 750 Keyboard & Mouse Combo Wired USB Desktop Keyboard,5,Fabulous!,Super,Jagan Nayak,Odagaon,10 months ago,76,6
306,ACCGY4GMUVP9UFNS,"HUPSHY Back Cover for Samsung Galaxy M12, Samsung Galaxy F12, Samsung Galaxy A12",5,Great product,Best products high magnetic 🧲,Ravi Yadav UP100UP,Jaunpur District,4 months ago,0,0
70,CKBFS9JGAC9CTX43,Chaayos Chai Time Snack Premium Coconut Cookies Cookies,5,Must buy!,Woww..so tasty,Abha Mohanty,Baleshwar District,"Sep, 2020",0,0
871,AICFYNG9D7JTYFZE,Symphony 70 L Desert Air Cooler,4,Nice product,OSM,NIKHIL JOSHI,Bodhan,9 days ago,0,0
1283,AICFNMDBXVAQMBVS,Symphony 80 L Desert Air Cooler,1,Horrible,Not satisfied its not sufficient cool,nagaraju yadav,Hyderabad,10 months ago,2,1
216,ACCFDK469A9W96HJ,ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,2,Could be way better,"Keys don't function properly. After 3 to 4 days, the keys get stuck and u might wanna pull it up. It's irritating. Especially the backspace key and enter key. Key travel and feel is also not good. Caps lock num lock light is not at all visible. Although this is not a deal breaker but still u might end up keying in wrong passwords most of the times. I returned this and ordered Logitech K120. Thanks to flipkart in speed delivery and hassle free return process.",Suhas Babu,Bangalore,"Jul, 2020",6,4
357,AICFFVVJFQHHNCN8,CROMPTON 88 L Desert Air Cooler,5,Wonderful,Good Good,Mohammad Maseuzzama,Kolkata,"May, 2019",3,0
98,AICGF8KFFAPSZJES,Orient Electric 85 L Desert Air Cooler,5,Terrific purchase,Good product,Sumeet Kumar ,Siwan District,10 months ago,6,0
727,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,4,Good choice,1)Must buy this product2)very Effective3)Need Proper Ventilation is must4)Delivery on time and Safely5)After using 6days I comment,Pushkar  Metkute ,Navi Mumbai,"Mar, 2021",12,2
401,ACCFG3ACAXXHHRHW,"SRT Back Cover for Apple iPhone 7, Apple iPhone 8",5,Awesome,Good one,Chithu Chithra,Ernakulam District,"Sep, 2020",0,0
787,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,5,Just wow!,Low price and very good 👌 quality,Panakj Saxena,Gwalior,"Jul, 2020",1,0
58,ACCFBPGHR8HWPHUF,HP 1000 Wired Optical Mouse,5,Excellent,Nice quality,Sourav Ghosh,Durgapur,"Oct, 2020",1,0
416,ACCFBDCVVNXUWBXH,ZEBRONICS Zeb-Judwaa 750 Keyboard & Mouse Combo Wired USB Desktop Keyboard,4,Delightful,Best keyboard and mouse at this price rangeI am really satisfied with itReviewing after 15 days,Prashant Kumar,Paria,9 months ago,1,0
